Id,country,region,city,postalCode,latitude,longitude,metroCode,areaCode
1,IN,,,,20,77,,
2,IN,10,Haryana,,29.6161,76.9806,,
3,IN,16,Vani,,20.3333,73.8833,,
4,IN,19,Bangalore,,12.9833,77.5833,,
5,IN,2,Hyderabad,,17.3753,78.4744,,
6,IN,16,Pune,,18.5333,73.8667,,
7,IN,24,Jaipur,,26.9167,75.8167,,
8,IN,16,Bombay,,18.975,72.8258,,
9,IN,13,Cochin,,9.9667,76.2333,,
10,IN,10,Gurgaon,,28.4667,77.0333,,
11,IN,7,New Delhi,,28.6,77.2,,
12,IN,7,Delhi,,28.6667,77.2167,,
13,IN,13,Trivandrum,,8.5069,76.9569,,
14,IN,13,Manjeri,,11.1167,76.1167,,
15,IN,25,Chennai,,13.0833,80.2833,,
16,IN,25,Sivakasi,,9.45,77.8167,,
17,IN,34,Jayanagar,,26.5833,86.15,,
18,IN,16,Thane,,19.2,72.9667,,
19,IN,35,Indore,,22.7167,75.8333,,
20,IN,28,Calcutta,,22.5697,88.3697,,
21,IN,16,Amalner,,21.05,75.0667,,
22,IN,5,Chandigarh,,30.7343,76.7933,,
23,IN,24,Nagar,,27.4333,77.1,,
24,IN,23,Jalandhar,,31.3256,75.5792,,
25,IN,13,Calicut,,11.25,75.7667,,
26,IN,16,Nagpur,,21.15,79.1,,
27,IN,2,Secunderabad,,17.45,78.5,,
28,IN,16,Andheri,,19.1167,72.8333,,
29,IN,9,Surat,,20.9667,72.9,,
30,IN,16,Ulhasnagar,,19.2167,73.15,,
31,IN,36,Ghaziabad,,28.6667,77.4333,,
32,IN,28,Kolkata,,22.5697,88.3697,,
33,IN,25,West Mambalam,,13.0389,80.2258,,
34,IN,13,Ernakulam,,9.9833,76.2833,,
35,IN,7,Dehli,,28.6667,77.2167,,
36,IN,35,Rama,,22.7667,74.7,,
37,IN,9,Ahmedabad,,23.0333,72.6167,,
38,IN,11,Bhawan,,32.1,76.2667,,
39,IN,16,Bandra,,19.05,72.8333,,
40,IN,25,Hosur,,12.7167,77.8167,,
41,IN,25,Pallavaram,,12.9761,80.1836,,
42,IN,35,Bagh,,22.3667,74.7667,,
43,IN,9,Bharat,,24.3333,72.2333,,
44,IN,36,Agra,,27.1833,78.0167,,
45,IN,2,Visakhapatnam,,17.7,83.3,,
46,IN,10,Faridabad,,28.4333,77.3167,,
47,IN,28,Bazar,,27.1,88.45,,
48,IN,25,Manali,,13.1667,80.2667,,
49,IN,19,Yelahanka,,13.1075,77.6003,,
50,IN,35,Sarai,,24.5333,77.1833,,
51,IN,39,Chopra,,29.81,78.59,,
52,IN,11,Kumar,,33.0333,76.45,,
53,IN,9,Anand,,22.5667,72.9333,,
54,IN,35,Jabalpur,,23.1667,79.95,,
55,IN,9,Vadodara,,22.3,73.2,,
56,IN,16,Mohali,,30.78,76.69,,
57,IN,9,Basu,,24.0667,72.3167,,
58,IN,25,Coimbatore,,10.9925,76.9614,,
59,IN,12,Shar,,34.0167,75,,
60,IN,19,Gokak,,16.1667,74.8333,,
61,IN,36,Mohan,,26.7833,80.65,,
62,IN,11,Hari,,31.55,76.6333,,
63,IN,12,Raju,,33.1583,74.2667,,
64,IN,36,Sahibabad,,28.6833,77.4,,
65,IN,11,Shimla,,31.1033,77.1722,,
66,IN,2,Tirupati,,13.65,79.4167,,
67,IN,19,Manipal,,13.35,74.7833,,
68,IN,13,Thiruvananthapuram,,8.5069,76.9569,,
69,IN,28,Chandra,,22.4667,87.15,,
70,IN,16,Pande,,18.3833,75.2333,,
71,IN,24,Lamba,,26.3,75.1667,,
72,IN,35,Dhar,,22.6,75.3,,
73,IN,16,Kalyan,,19.25,73.15,,
74,IN,19,Mangalore,,12.8639,74.8353,,
75,IN,19,Chickmagalur,,13.3167,75.7833,,
76,IN,37,Lanka,,19.2333,80.7667,,
77,IN,9,Somnath,,20.8833,70.3667,,
78,IN,19,Vittal,,12.7667,75.0833,,
79,IN,16,Juhu,,19.1,72.8167,,
80,IN,16,Parel,,19,72.8333,,
81,IN,16,Colaba,,18.9069,72.8106,,
82,IN,16,Worli,,19.0167,72.8167,,
83,IN,25,Erode,,11.35,77.7333,,
84,IN,19,Shimogga,,13.9222,75.5736,,
85,IN,12,Patel,,32.9847,74.8583,,
86,IN,12,Bala,,32.9778,74.7514,,
87,IN,19,Mysore,,12.3072,76.6497,,
88,IN,36,Lucknow,,26.85,80.9167,,
89,IN,23,Landran,,30.7,76.6667,,
90,IN,23,Ropar,,30.9664,76.5331,,
91,IN,9,Gandhinagar,,23.2167,72.6833,,
92,IN,25,Madurai,,9.9333,78.1167,,
93,IN,3,Bhandari,,26.2833,94.15,,
94,IN,16,Abdul,,19.6667,76.8833,,
95,IN,28,Sahara,,22.29,88.1353,,
96,IN,38,Anjan,,23.1333,84.4833,,
97,IN,2,Krishna,,16.1667,81.1333,,
98,IN,39,Badrinath,,30.7333,79.4833,,
99,IN,13,Vazhakulam,,9.95,76.65,,
100,IN,13,Kottayam,,9.5833,76.5167,,
101,IN,12,Mano,,33.0167,76.0167,,
102,IN,9,Bhat,,22.4167,73.6167,,
103,IN,10,Sanghi,,29.0167,76.6167,,
104,IN,16,Kusumba,,20.9167,74.65,,
105,IN,35,Bain,,22.4167,76.7,,
106,IN,28,Mahesh,,22.7333,88.35,,
107,IN,25,Trichy,,10.805,78.6856,,
108,IN,19,Sangam,,16.2,76.05,,
109,IN,16,Vile Parle,,19.1,72.8333,,
110,IN,16,Jogeshwari,,19.8167,75.2,,
111,IN,30,Shakti,,27.6167,91.7167,,
112,IN,35,Sagar,,23.8333,78.7167,,
113,IN,21,Jagannath,,19.8,85.85,,
114,IN,9,Sarla,,22.7167,71.3667,,
115,IN,10,Kasan,,28.3667,76.9,,
116,IN,16,Shirdi,,19.7667,74.4833,,
117,IN,25,Navalur,,12.8394,80.2267,,
118,IN,11,Mani,,32.0167,78.25,,
119,IN,24,Udaipur,,27.7167,75.4833,,
120,IN,9,Ankleshwar,,21.6,73,,
121,IN,16,Chinchwad,,18.6167,73.7833,,
122,IN,35,Bhopal,,23.2667,77.4,,
123,IN,36,Varanasi,,25.3333,83,,
124,IN,2,Vizag,,17.7,83.3,,
125,IN,2,Vijayawada,,16.5167,80.6167,,
126,IN,35,Baroda,,25.5,76.65,,
127,IN,28,Salt Lake City,,22.5833,88.4167,,
128,IN,9,Dwarka,,22.2394,68.9678,,
129,IN,36,Dadri,,28.5667,77.55,,
130,IN,19,Agni,,16.5667,76.4667,,
131,IN,35,Soni,,26.5247,78.5586,,
132,IN,11,Kalka,,30.8344,76.9333,,
133,IN,28,Multi,,22.2886,88.4225,,
134,IN,7,Mehrauli,,28.5167,77.1833,,
135,IN,7,Kalkaji,,28.55,77.2667,,
136,IN,12,Santnagar,,34.0375,74.8,,
137,IN,16,Miri,,19.2833,74.9667,,
138,IN,3,Powai,,27.35,95.65,,
139,IN,16,Karnala,,18.8667,73.1,,
140,IN,34,Pusa,,25.9833,85.6833,,
